,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
13510,4/1/2020,Afghanistan,197,4,5,188,22,0,0
13511,4/1/2020,Albania,259,15,67,177,16,0,15
13512,4/1/2020,Algeria,847,58,61,728,131,14,15
13513,4/1/2020,Andorra,390,14,10,366,14,2,0
13514,4/1/2020,Angola,8,2,1,5,1,0,0
13515,4/1/2020,Antigua and Barbuda,7,0,0,7,0,0,0
13516,4/1/2020,Argentina,1054,28,248,778,0,1,8
13517,4/1/2020,Armenia,571,4,31,536,39,1,1
13518,4/1/2020,Australia,4862,20,422,4420,303,2,64
13519,4/1/2020,Austria,10711,146,1436,9129,531,18,341
13520,4/1/2020,Azerbaijan,359,5,26,328,61,0,0
13521,4/1/2020,Bahamas,21,1,1,19,7,1,0
13522,4/1/2020,Bahrain,569,4,337,228,2,0,42
13523,4/1/2020,Bangladesh,54,6,25,23,3,1,0
13524,4/1/2020,Barbados,34,0,0,34,0,0,0
13525,4/1/2020,Belarus,163,2,53,108,11,1,6
13526,4/1/2020,Belgium,13964,828,2132,11004,1189,123,436
13527,4/1/2020,Belize,3,0,0,3,0,0,0
13528,4/1/2020,Benin,13,0,1,12,4,0,0
13529,4/1/2020,Bhutan,4,0,0,4,0,0,0
13530,4/1/2020,Bolivia,115,7,1,107,8,1,1
13531,4/1/2020,Bosnia and Herzegovina,459,13,19,427,39,0,2
13532,4/1/2020,Botswana,4,1,0,3,0,0,0
13533,4/1/2020,Brazil,6836,240,127,6469,1119,39,0
13534,4/1/2020,Brunei,131,1,52,78,2,0,7
13535,4/1/2020,Bulgaria,422,10,20,392,23,2,3
13536,4/1/2020,Burkina Faso,282,16,46,220,21,2,14
13537,4/1/2020,Burma,15,1,0,14,0,0,0
13538,4/1/2020,Burundi,2,0,0,2,0,0,0
13539,4/1/2020,Cabo Verde,6,1,0,5,0,0,0
13540,4/1/2020,Cambodia,109,0,25,84,0,0,2
13541,4/1/2020,Cameroon,233,6,10,217,40,0,5
13542,4/1/2020,Canada,10514,174,0,10340,1281,23,0
13543,4/1/2020,Central African Republic,3,0,0,3,0,0,0
13544,4/1/2020,Chad,7,0,0,7,0,0,0
13545,4/1/2020,Chile,3137,16,234,2887,293,4,78
13546,4/1/2020,China,82361,3316,74844,4201,82,7,199
13547,4/1/2020,Colombia,1065,17,39,1009,159,1,8
13548,4/1/2020,Comoros,0,0,0,0,0,0,0
13549,4/1/2020,Congo (Brazzaville),19,0,0,19,0,0,0
13550,4/1/2020,Congo (Kinshasa),109,9,3,97,11,1,1
13551,4/1/2020,Costa Rica,375,2,4,369,28,0,0
13552,4/1/2020,Cote d'Ivoire,190,1,9,180,11,0,2
13553,4/1/2020,Croatia,963,6,73,884,96,0,6
13554,4/1/2020,Cuba,212,6,12,194,26,0,4
13555,4/1/2020,Cyprus,320,9,28,283,58,1,5
13556,4/1/2020,Czechia,3508,39,61,3408,200,8,16
13557,4/1/2020,Denmark,3290,104,971,2215,251,14,894
13558,4/1/2020,Djibouti,33,0,0,33,3,0,0
13559,4/1/2020,Dominica,12,0,0,12,0,0,0
13560,4/1/2020,Dominican Republic,1284,57,9,1218,175,6,4
13561,4/1/2020,Ecuador,2748,93,58,2597,508,18,4
13562,4/1/2020,Egypt,779,52,179,548,69,6,22
13563,4/1/2020,El Salvador,32,1,0,31,0,0,0
13564,4/1/2020,Equatorial Guinea,15,0,1,14,3,0,0
13565,4/1/2020,Eritrea,15,0,0,15,0,0,0
13566,4/1/2020,Estonia,779,5,33,741,34,1,7
13567,4/1/2020,Eswatini,9,0,0,9,0,0,0
13568,4/1/2020,Ethiopia,29,0,2,27,3,0,0
13569,4/1/2020,Fiji,5,0,0,5,0,0,0
13570,4/1/2020,Finland,1446,17,10,1419,28,0,0
13571,4/1/2020,France,57122,4778,11053,41291,4844,1252,1540
13572,4/1/2020,Gabon,18,1,0,17,2,0,0
13573,4/1/2020,Gambia,4,1,2,1,0,0,2
13574,4/1/2020,Georgia,117,0,23,94,7,0,2
13575,4/1/2020,Germany,77872,920,18700,58252,6064,145,2600
13576,4/1/2020,Ghana,195,5,31,159,34,0,0
13577,4/1/2020,Greece,1415,50,52,1313,101,1,0
13578,4/1/2020,Grenada,9,0,0,9,0,0,0
13579,4/1/2020,Guatemala,39,1,12,26,1,0,0
13580,4/1/2020,Guinea,30,0,0,30,8,0,0
13581,4/1/2020,Guinea-Bissau,9,0,0,9,1,0,0
13582,4/1/2020,Guyana,19,2,0,17,7,0,0
13583,4/1/2020,Haiti,15,0,1,14,0,0,0
13584,4/1/2020,Holy See,6,0,0,6,0,0,0
13585,4/1/2020,Honduras,172,10,3,159,31,3,0
13586,4/1/2020,Hungary,525,20,40,465,33,4,3
13587,4/1/2020,Iceland,1220,2,225,993,85,0,27
13588,4/1/2020,India,1998,58,148,1792,601,23,25
13589,4/1/2020,Indonesia,1677,157,103,1417,149,21,22
13590,4/1/2020,Iran,47593,3036,15473,29084,2988,138,817
13591,4/1/2020,Iraq,728,52,182,494,34,2,12
13592,4/1/2020,Ireland,3447,85,5,3357,212,14,0
13593,4/1/2020,Israel,6413,29,495,5889,696,8,285
13594,4/1/2020,Italy,110574,13155,16847,80572,4782,727,1118
13595,4/1/2020,Jamaica,44,3,2,39,8,2,0
13596,4/1/2020,Japan,2535,72,472,1991,280,5,48
13597,4/1/2020,Jordan,278,5,36,237,4,0,6
13598,4/1/2020,Kazakhstan,380,3,26,351,37,1,2
13599,4/1/2020,Kenya,81,1,3,77,22,0,2
13600,4/1/2020,Kiribati,0,0,0,0,0,0,0
13601,4/1/2020,"Korea, South",9887,165,5567,4155,101,3,159
13602,4/1/2020,Kosovo,112,1,6,105,6,0,5
13603,4/1/2020,Kuwait,317,0,80,237,28,0,7
13604,4/1/2020,Kyrgyzstan,111,0,3,108,4,0,0
13605,4/1/2020,Laos,10,0,0,10,1,0,0
13606,4/1/2020,Latvia,446,0,1,445,48,0,0
13607,4/1/2020,Lebanon,479,14,43,422,9,2,6
13608,4/1/2020,Lesotho,0,0,0,0,0,0,0
13609,4/1/2020,Liberia,6,0,0,6,3,0,0
13610,4/1/2020,Libya,10,0,0,10,0,0,-1
13611,4/1/2020,Liechtenstein,68,0,46,22,0,0,2
13612,4/1/2020,Lithuania,512,6,0,506,44,2,0
13613,4/1/2020,Luxembourg,2319,29,80,2210,141,6,0
13614,4/1/2020,Madagascar,57,0,0,57,0,0,0
13615,4/1/2020,Malawi,0,0,0,0,0,0,0
13616,4/1/2020,Malaysia,2908,45,645,2218,142,2,108
13617,4/1/2020,Maldives,19,0,13,6,1,0,0
13618,4/1/2020,Mali,31,3,0,28,3,1,0
13619,4/1/2020,Malta,188,0,2,186,19,0,0
13620,4/1/2020,Marshall Islands,0,0,0,0,0,0,0
13621,4/1/2020,Mauritania,6,1,2,3,0,0,0
13622,4/1/2020,Mauritius,161,6,0,155,18,1,0
13623,4/1/2020,Mexico,1378,37,35,1306,163,8,0
13624,4/1/2020,Micronesia,0,0,0,0,0,0,0
13625,4/1/2020,Moldova,423,5,23,395,70,1,5
13626,4/1/2020,Monaco,55,1,2,52,3,0,0
13627,4/1/2020,Mongolia,14,0,2,12,2,0,0
13628,4/1/2020,Montenegro,123,2,0,121,14,0,0
13629,4/1/2020,Morocco,654,39,29,586,37,3,5
13630,4/1/2020,Mozambique,10,0,0,10,2,0,0
13631,4/1/2020,Namibia,14,0,2,12,3,0,0
13632,4/1/2020,Nepal,5,0,1,4,0,0,0
13633,4/1/2020,Netherlands,13696,1175,10,12511,1029,135,7
13634,4/1/2020,New Zealand,708,1,83,624,61,0,9
